"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","Cohort"
"182","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",139,"Body Weight",30470,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"183","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",139,"Body Weight",29170,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"184","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",139,"Body Weight",29550,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"185","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",139,"Body Weight",40270,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"186","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",139,"Body Weight",41020,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"187","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",139,"Body Weight",38610,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"188","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",139,"Body Weight",40700,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"189","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",139,"Body Weight",39020,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"190","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",139,"Body Weight",47830,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"191","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",139,"Body Weight",29810,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"192","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",139,"Body Weight",32840,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"193","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",139,"Body Weight",42530,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"194","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",139,"Body Weight",35120,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"195","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",139,"Body Weight",42340,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"196","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",139,"Body Weight",35360,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"197","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",139,"Body Weight",26530,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"198","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",139,"Body Weight",26030,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"199","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",139,"Body Weight",26870,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"200","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",139,"Body Weight",26260,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"201","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",139,"Body Weight",23980,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"202","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",139,"Body Weight",29330,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"203","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",139,"Body Weight",29460,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"204","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",139,"Body Weight",26770,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"205","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",139,"Body Weight",28760,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"206","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",139,"Body Weight",31360,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"207","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",139,"Body Weight",38630,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"208","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",139,"Body Weight",39910,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"209","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",139,"Body Weight",43880,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"210","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",139,"Body Weight",40980,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"211","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",152,"Body Weight",32850,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"212","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",152,"Body Weight",33050,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"213","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",152,"Body Weight",35770,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"214","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",152,"Body Weight",31780,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"215","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",152,"Body Weight",30750,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"216","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",152,"Body Weight",28100,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"217","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",152,"Body Weight",32220,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"218","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",152,"Body Weight",29630,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"219","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",152,"Body Weight",30960,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"220","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",152,"Body Weight",41850,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"221","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",152,"Body Weight",43290,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"222","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",152,"Body Weight",40010,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"223","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",152,"Body Weight",42150,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"224","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",152,"Body Weight",41580,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"225","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",152,"Body Weight",48970,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"226","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",152,"Body Weight",31000,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"227","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",152,"Body Weight",33410,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"228","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",152,"Body Weight",43960,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"229","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",152,"Body Weight",35730,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"230","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",152,"Body Weight",42990,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"231","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",152,"Body Weight",35550,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"232","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",152,"Body Weight",26710,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"233","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",152,"Body Weight",25940,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"234","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",152,"Body Weight",26770,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"235","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",152,"Body Weight",27020,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"236","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",152,"Body Weight",24610,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"237","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",152,"Body Weight",31080,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"238","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",152,"Body Weight",31030,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"239","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",152,"Body Weight",27880,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"240","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",152,"Body Weight",29620,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"241","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",152,"Body Weight",32870,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"242","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",152,"Body Weight",40500,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"243","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",152,"Body Weight",42330,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"244","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",152,"Body Weight",45020,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"245","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",152,"Body Weight",42770,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"363","C57BL/6J-EarTag #200",209923,"C57BL/6J","+/+",69,"Body Weight",25480,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"373","C57BL/6J-EarTag #201",209923,"C57BL/6J","+/+",69,"Body Weight",22520,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"383","C57BL/6J-EarTag #202",209923,"C57BL/6J","+/+",69,"Body Weight",20120,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"393","C57BL/6J-EarTag #203",209923,"C57BL/6J","+/+",69,"Body Weight",19910,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"403","C57BL/6J-EarTag #205",209924,"C57BL/6J","+/+",69,"Body Weight",25270,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4110","C57BL/6J-EarTag #204",209924,"C57BL/6J","+/+",69,"Body Weight",22420,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4210","C57BL/6J-EarTag #206",209924,"C57BL/6J","+/+",69,"Body Weight",23420,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4310","C57BL/6J-EarTag #207",209924,"C57BL/6J","+/+",69,"Body Weight",27400,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4410","C57BL/6J-EarTag #208",209924,"C57BL/6J","+/+",69,"Body Weight",23280,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4510","C57BL/6J-EarTag #209",209925,"C57BL/6J","+/+",69,"Body Weight",25940,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4610","C57BL/6J-EarTag #210",209925,"C57BL/6J","+/+",69,"Body Weight",23190,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4710","C57BL/6J-EarTag #211",209925,"C57BL/6J","+/+",69,"Body Weight",24270,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4810","C57BL/6J-EarTag #212",209925,"C57BL/6J","+/+",69,"Body Weight",20990,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"4910","C57BL/6J-EarTag #213",209925,"C57BL/6J","+/+",69,"Body Weight",24130,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"5010","C57BL/6J-EarTag #214",209926,"C57BL/6J","+/+",69,"Body Weight",24050,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5110","C57BL/6J-EarTag #215",209926,"C57BL/6J","+/+",69,"Body Weight",21700,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5210","C57BL/6J-EarTag #216",209926,"C57BL/6J","+/+",69,"Body Weight",22100,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5310","C57BL/6J-EarTag #217",209926,"C57BL/6J","+/+",69,"Body Weight",22770,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5410","C57BL/6J-EarTag #218",209927,"C57BL/6J","+/+",69,"Body Weight",21840,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5510","C57BL/6J-EarTag #220",209927,"C57BL/6J","+/+",69,"Body Weight",23400,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5610","C57BL/6J-EarTag #221",209927,"C57BL/6J","+/+",69,"Body Weight",24310,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5710","C57BL/6J-EarTag #219",209927,"C57BL/6J","+/+",69,"Body Weight",23180,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"361","C57BL/6J-EarTag #200",209923,"C57BL/6J","+/+",83,"Body Weight",29990,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"371","C57BL/6J-EarTag #201",209923,"C57BL/6J","+/+",83,"Body Weight",26990,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"381","C57BL/6J-EarTag #202",209923,"C57BL/6J","+/+",83,"Body Weight",24160,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"391","C57BL/6J-EarTag #203",209923,"C57BL/6J","+/+",83,"Body Weight",24070,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"401","C57BL/6J-EarTag #205",209924,"C57BL/6J","+/+",83,"Body Weight",27320,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"411","C57BL/6J-EarTag #204",209924,"C57BL/6J","+/+",83,"Body Weight",23560,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"421","C57BL/6J-EarTag #206",209924,"C57BL/6J","+/+",83,"Body Weight",26990,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"431","C57BL/6J-EarTag #207",209924,"C57BL/6J","+/+",83,"Body Weight",29900,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"441","C57BL/6J-EarTag #208",209924,"C57BL/6J","+/+",83,"Body Weight",25880,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"451","C57BL/6J-EarTag #209",209925,"C57BL/6J","+/+",83,"Body Weight",27740,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"461","C57BL/6J-EarTag #210",209925,"C57BL/6J","+/+",83,"Body Weight",24150,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"471","C57BL/6J-EarTag #211",209925,"C57BL/6J","+/+",83,"Body Weight",26080,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"481","C57BL/6J-EarTag #212",209925,"C57BL/6J","+/+",83,"Body Weight",22460,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"491","C57BL/6J-EarTag #213",209925,"C57BL/6J","+/+",83,"Body Weight",24030,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"501","C57BL/6J-EarTag #214",209926,"C57BL/6J","+/+",83,"Body Weight",30850,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"511","C57BL/6J-EarTag #215",209926,"C57BL/6J","+/+",83,"Body Weight",23680,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"521","C57BL/6J-EarTag #216",209926,"C57BL/6J","+/+",83,"Body Weight",24250,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"531","C57BL/6J-EarTag #217",209926,"C57BL/6J","+/+",83,"Body Weight",26920,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"541","C57BL/6J-EarTag #218",209927,"C57BL/6J","+/+",83,"Body Weight",27370,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"551","C57BL/6J-EarTag #219",209927,"C57BL/6J","+/+",83,"Body Weight",25780,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"561","C57BL/6J-EarTag #220",209927,"C57BL/6J","+/+",83,"Body Weight",26370,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"571","C57BL/6J-EarTag #221",209927,"C57BL/6J","+/+",83,"Body Weight",29940,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"452","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",97,"Body Weight",25910,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"462","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",97,"Body Weight",30080,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"472","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",97,"Body Weight",30410,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"482","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",97,"Body Weight",30140,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"492","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",97,"Body Weight",28330,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"502","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",97,"Body Weight",25520,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"512","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",97,"Body Weight",27760,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"522","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",97,"Body Weight",27020,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"532","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",97,"Body Weight",27900,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"542","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",97,"Body Weight",32600,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"552","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",97,"Body Weight",31200,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"562","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",97,"Body Weight",30220,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"572","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",97,"Body Weight",31560,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5810","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",97,"Body Weight",30850,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"5910","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",97,"Body Weight",36310,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"6010","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",97,"Body Weight",26440,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"6110","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",97,"Body Weight",26400,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"6210","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",97,"Body Weight",35190,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"6310","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",97,"Body Weight",30680,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"6410","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",97,"Body Weight",35540,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"6510","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",97,"Body Weight",31450,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"6610","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",97,"Body Weight",25120,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"6710","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",97,"Body Weight",24760,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"6810","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",97,"Body Weight",25330,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"6910","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",97,"Body Weight",24570,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"7010","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",97,"Body Weight",22850,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"7110","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",97,"Body Weight",27080,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"7210","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",97,"Body Weight",28900,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"7310","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",97,"Body Weight",25840,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"7410","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",97,"Body Weight",26660,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"7510","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",97,"Body Weight",30150,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"7610","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",97,"Body Weight",32220,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"7710","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",97,"Body Weight",34040,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"7810","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",97,"Body Weight",33940,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"7910","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",97,"Body Weight",32710,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"362","C57BL/6J-EarTag #200",209923,"C57BL/6J","+/+",111,"Body Weight",37110,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"372","C57BL/6J-EarTag #201",209923,"C57BL/6J","+/+",111,"Body Weight",34990,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"382","C57BL/6J-EarTag #202",209923,"C57BL/6J","+/+",111,"Body Weight",26580,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"392","C57BL/6J-EarTag #203",209923,"C57BL/6J","+/+",111,"Body Weight",27620,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"402","C57BL/6J-EarTag #205",209924,"C57BL/6J","+/+",111,"Body Weight",29890,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"412","C57BL/6J-EarTag #204",209924,"C57BL/6J","+/+",111,"Body Weight",25460,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"422","C57BL/6J-EarTag #206",209924,"C57BL/6J","+/+",111,"Body Weight",30130,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"432","C57BL/6J-EarTag #207",209924,"C57BL/6J","+/+",111,"Body Weight",31640,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"442","C57BL/6J-EarTag #208",209924,"C57BL/6J","+/+",111,"Body Weight",28330,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"453","C57BL/6J-EarTag #209",209925,"C57BL/6J","+/+",111,"Body Weight",29170,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"463","C57BL/6J-EarTag #210",209925,"C57BL/6J","+/+",111,"Body Weight",26710,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"473","C57BL/6J-EarTag #211",209925,"C57BL/6J","+/+",111,"Body Weight",28310,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"483","C57BL/6J-EarTag #212",209925,"C57BL/6J","+/+",111,"Body Weight",26010,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"493","C57BL/6J-EarTag #213",209925,"C57BL/6J","+/+",111,"Body Weight",28410,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"503","C57BL/6J-EarTag #214",209926,"C57BL/6J","+/+",111,"Body Weight",35030,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"513","C57BL/6J-EarTag #215",209926,"C57BL/6J","+/+",111,"Body Weight",26550,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"523","C57BL/6J-EarTag #216",209926,"C57BL/6J","+/+",111,"Body Weight",26920,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"533","C57BL/6J-EarTag #217",209926,"C57BL/6J","+/+",111,"Body Weight",31470,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"543","C57BL/6J-EarTag #218",209927,"C57BL/6J","+/+",111,"Body Weight",33340,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"553","C57BL/6J-EarTag #219",209927,"C57BL/6J","+/+",111,"Body Weight",30130,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"563","C57BL/6J-EarTag #220",209927,"C57BL/6J","+/+",111,"Body Weight",34410,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"573","C57BL/6J-EarTag #221",209927,"C57BL/6J","+/+",111,"Body Weight",36820,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"10210","C57BL/6J-EarTag #200",209923,"C57BL/6J","+/+",125,"Body Weight",37390,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"1032","C57BL/6J-EarTag #201",209923,"C57BL/6J","+/+",125,"Body Weight",38810,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"1041","C57BL/6J-EarTag #202",209923,"C57BL/6J","+/+",125,"Body Weight",28820,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"1051","C57BL/6J-EarTag #203",209923,"C57BL/6J","+/+",125,"Body Weight",29570,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"1061","C57BL/6J-EarTag #205",209924,"C57BL/6J","+/+",125,"Body Weight",30760,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1071","C57BL/6J-EarTag #204",209924,"C57BL/6J","+/+",125,"Body Weight",25840,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1081","C57BL/6J-EarTag #206",209924,"C57BL/6J","+/+",125,"Body Weight",30540,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1091","C57BL/6J-EarTag #207",209924,"C57BL/6J","+/+",125,"Body Weight",32160,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1101","C57BL/6J-EarTag #208",209924,"C57BL/6J","+/+",125,"Body Weight",29280,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1111","C57BL/6J-EarTag #209",209925,"C57BL/6J","+/+",125,"Body Weight",30210,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1121","C57BL/6J-EarTag #210",209925,"C57BL/6J","+/+",125,"Body Weight",26970,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1131","C57BL/6J-EarTag #211",209925,"C57BL/6J","+/+",125,"Body Weight",29190,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1141","C57BL/6J-EarTag #212",209925,"C57BL/6J","+/+",125,"Body Weight",27510,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1151","C57BL/6J-EarTag #213",209925,"C57BL/6J","+/+",125,"Body Weight",29060,"fed","[<Treatment: Normal Chow Diet>]","Cohort 4"
"1161","C57BL/6J-EarTag #214",209926,"C57BL/6J","+/+",125,"Body Weight",37360,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
"1171","C57BL/6J-EarTag #215",209926,"C57BL/6J","+/+",125,"Body Weight",26740,"fed","[<Treatment: High Fat Diet>]","Cohort 4"
