"","gene_biotype","external_gene_name","ensembl_gene_id"
"13997","TEC","Gm33366","ENSMUSG00000102969"
"13998","protein_coding","Troap","ENSMUSG00000032783"
"13999","unprocessed_pseudogene","Gm20913","ENSMUSG00000100539"
"14000","protein_coding","Ahrr","ENSMUSG00000021575"
"14001","snoRNA","Gm24911","ENSMUSG00000087917"
"14002","antisense","A230083N12Rik","ENSMUSG00000085482"
"14003","protein_coding","Gm3033","ENSMUSG00000093887"
"14004","protein_coding","Gm16505","ENSMUSG00000096107"
"14005","processed_pseudogene","Gm4412","ENSMUSG00000100172"
"14006","protein_coding","Slc16a7","ENSMUSG00000020102"
"14007","processed_pseudogene","Gm14848","ENSMUSG00000083805"
"14008","miRNA","Gm24096","ENSMUSG00000096560"
"14009","lincRNA","Gm26803","ENSMUSG00000097265"
"14010","antisense","Plekhd1os","ENSMUSG00000044062"
"14011","protein_coding","Gp2","ENSMUSG00000030954"
"14012","TEC","Gm37093","ENSMUSG00000103188"
"14013","protein_coding","Col20a1","ENSMUSG00000016356"
"14014","protein_coding","Calml3","ENSMUSG00000063130"
"14015","protein_coding","Ddn","ENSMUSG00000059213"
"14016","processed_pseudogene","Gm26570","ENSMUSG00000096955"
"14017","processed_pseudogene","Gm18658","ENSMUSG00000103852"
"14018","protein_coding","Mlh3","ENSMUSG00000021245"
"14019","processed_pseudogene","Gm5958","ENSMUSG00000087144"
"14020","protein_coding","RP24-180F7.1","ENSMUSG00000105053"
"14021","processed_pseudogene","Gm19200","ENSMUSG00000098023"
"14022","protein_coding","Slc12a2","ENSMUSG00000024597"
"14023","protein_coding","1700001L19Rik","ENSMUSG00000021534"
"14024","protein_coding","Nyap2","ENSMUSG00000054976"
"14025","protein_coding","Dnah7c","ENSMUSG00000101337"
"14026","protein_coding","Katnb1","ENSMUSG00000031787"
"14027","lincRNA","Gm38003","ENSMUSG00000102586"
"14028","protein_coding","Prss39","ENSMUSG00000026125"
"14029","processed_pseudogene","Gm5272","ENSMUSG00000098226"
"14030","protein_coding","Map3k7cl","ENSMUSG00000025610"
"14031","unprocessed_pseudogene","Vmn1r-ps125","ENSMUSG00000082656"
"14032","protein_coding","Mdh1","ENSMUSG00000020321"
"14033","protein_coding","Actr6","ENSMUSG00000019948"
"14034","protein_coding","Olfr371","ENSMUSG00000051952"
"14035","protein_coding","Tmem104","ENSMUSG00000045980"
"14036","protein_coding","Cplx4","ENSMUSG00000024519"
"14037","protein_coding","Gm3002","ENSMUSG00000096793"
"14038","processed_pseudogene","Gm38291","ENSMUSG00000103150"
"14039","protein_coding","Nap1l2","ENSMUSG00000082229"
"14040","unprocessed_pseudogene","Gm21857","ENSMUSG00000095134"
"14041","protein_coding","Bms1","ENSMUSG00000030138"
"14042","TEC","Gm37133","ENSMUSG00000103448"
"14043","lincRNA","C130071C03Rik","ENSMUSG00000050334"
"14044","protein_coding","Mrpl45","ENSMUSG00000018882"
"14045","processed_transcript","4930517O19Rik","ENSMUSG00000054391"
"14046","processed_pseudogene","Gm11343","ENSMUSG00000081707"
"14047","protein_coding","Dock6","ENSMUSG00000032198"
"14048","protein_coding","Cnot6l","ENSMUSG00000034724"
"14049","lincRNA","Gm29404","ENSMUSG00000100073"
"14050","snRNA","Gm26022","ENSMUSG00000089288"
"14051","protein_coding","Zfp868","ENSMUSG00000060427"
"14052","protein_coding","Csf1","ENSMUSG00000014599"
"14053","antisense","Gm28154","ENSMUSG00000100053"
"14054","protein_coding","Dctn1","ENSMUSG00000031865"
"14055","processed_pseudogene","Gm14847","ENSMUSG00000080886"
"14056","misc_RNA","Gm24005","ENSMUSG00000089084"
"14057","protein_coding","Gab2","ENSMUSG00000004508"
"14058","protein_coding","Oaz3","ENSMUSG00000028141"
"14059","protein_coding","Madcam1","ENSMUSG00000020310"
"14060","protein_coding","Srgap2","ENSMUSG00000026425"
"14061","antisense","Gm28364","ENSMUSG00000101503"
"14062","lincRNA","Gm28340","ENSMUSG00000100538"
"14063","processed_pseudogene","Gm16260","ENSMUSG00000084991"
"14064","unprocessed_pseudogene","Vmn1r-ps95","ENSMUSG00000081469"
"14065","snRNA","Gm25737","ENSMUSG00000095489"
"14066","protein_coding","Ndufb10","ENSMUSG00000040048"
"14067","lincRNA","Gm29622","ENSMUSG00000100329"
"14068","miRNA","mmu-mir-101c","ENSMUSG00000106183"
"14069","misc_RNA","Rny1","ENSMUSG00000065701"
"14070","protein_coding","Gm3029","ENSMUSG00000096901"
"14071","protein_coding","Pde1b","ENSMUSG00000022489"
"14072","protein_coding","Gm20518","ENSMUSG00000092470"
"14073","protein_coding","D19Bwg1357e","ENSMUSG00000041360"
"14074","snoRNA","Gm23377","ENSMUSG00000064877"
"14075","unprocessed_pseudogene","Vmn1r-ps97","ENSMUSG00000083167"
"14076","protein_coding","Olfr700","ENSMUSG00000094493"
"14077","snoRNA","Gm22723","ENSMUSG00000095176"
"14078","protein_coding","Tmx3","ENSMUSG00000024614"
"14079","miRNA","Mir135a-1","ENSMUSG00000065407"
"14080","unprocessed_pseudogene","Gm28837","ENSMUSG00000099914"
"14081","snoRNA","Gm23498","ENSMUSG00000088362"
"14082","protein_coding","Lrrc72","ENSMUSG00000020545"
"14083","unprocessed_pseudogene","Vmn1r190-ps","ENSMUSG00000089973"
"14084","processed_pseudogene","Gm6187","ENSMUSG00000101571"
"14085","unprocessed_pseudogene","Gm17063","ENSMUSG00000091031"
"14086","protein_coding","Gcnt2","ENSMUSG00000021360"
"14087","snoRNA","Gm22659","ENSMUSG00000077383"
"14088","protein_coding","1700008P02Rik","ENSMUSG00000069118"
"14089","protein_coding","2310016G11Rik","ENSMUSG00000070574"
"14090","snoRNA","Gm26135","ENSMUSG00000096191"
"14091","protein_coding","Tas2r124","ENSMUSG00000060412"
"14092","unprocessed_pseudogene","Gm2930","ENSMUSG00000090772"
"14093","protein_coding","Agap3","ENSMUSG00000023353"
"14094","processed_pseudogene","Ppp1r2-ps6","ENSMUSG00000095869"
"14095","miRNA","Mir7656","ENSMUSG00000098251"
"14096","processed_pseudogene","Gm28341","ENSMUSG00000101117"
"14097","processed_pseudogene","Gm11284","ENSMUSG00000083319"
"14098","protein_coding","A630091E08Rik","ENSMUSG00000055446"
"14099","lincRNA","Gm28570","ENSMUSG00000099800"
"14100","processed_pseudogene","Gm8038","ENSMUSG00000091981"
"14101","snRNA","Gm25949","ENSMUSG00000093074"
"14102","protein_coding","Chd7","ENSMUSG00000041235"
"14103","protein_coding","Olfr1461","ENSMUSG00000045883"
"14104","unprocessed_pseudogene","Gm7991","ENSMUSG00000091116"
"14105","processed_pseudogene","Gm2568","ENSMUSG00000084793"
"14106","snRNA","Gm23002","ENSMUSG00000094026"
"14107","protein_coding","Ppic","ENSMUSG00000024538"
"14108","snoRNA","Gm23176","ENSMUSG00000077553"
"14109","processed_pseudogene","Rpl10a-ps2","ENSMUSG00000061988"
"14110","processed_pseudogene","Gm18299","ENSMUSG00000104428"
"14111","protein_coding","Zfp72","ENSMUSG00000069184"
"14112","lincRNA","Gm29839","ENSMUSG00000101633"
"14113","snoRNA","Gm26179","ENSMUSG00000093964"
"14114","protein_coding","Plscr4","ENSMUSG00000032377"
"14115","snoRNA","Scarna9","ENSMUSG00000077506"
"14116","protein_coding","Olfr1442","ENSMUSG00000044441"
"14117","TEC","Gm37291","ENSMUSG00000103704"
"14118","protein_coding","Pi15","ENSMUSG00000067780"
"14119","protein_coding","Gm7168","ENSMUSG00000067941"
"14120","protein_coding","Olfr887","ENSMUSG00000096167"
"14121","processed_pseudogene","Gm7512","ENSMUSG00000102272"
"14122","protein_coding","Egfem1","ENSMUSG00000063600"
"14123","protein_coding","Gm4841","ENSMUSG00000068606"
"14124","protein_coding","Olfr1474","ENSMUSG00000096273"
"14125","TEC","Gm37980","ENSMUSG00000103136"
"14126","protein_coding","Tas2r113","ENSMUSG00000056926"
"14127","protein_coding","Gm29049","ENSMUSG00000099861"
"14128","transcribed_processed_pseudogene","1700091H14Rik","ENSMUSG00000090462"
"14129","protein_coding","Olfr888","ENSMUSG00000095527"
"14130","snoRNA","Gm23527","ENSMUSG00000077758"
"14131","processed_pseudogene","Rps27a-ps1","ENSMUSG00000101501"
"14132","protein_coding","Bcl2l15","ENSMUSG00000044165"
"14133","processed_pseudogene","Gm5522","ENSMUSG00000100212"
"14134","protein_coding","Actn1","ENSMUSG00000015143"
"14135","snoRNA","Gm25094","ENSMUSG00000077180"
"14136","protein_coding","Gm9745","ENSMUSG00000021148"
"14137","protein_coding","Olfr904","ENSMUSG00000094380"
"14138","processed_pseudogene","RP24-324D14.5","ENSMUSG00000105905"
"14139","unprocessed_pseudogene","Gm21742","ENSMUSG00000099871"
"14140","snoRNA","Gm24348","ENSMUSG00000089335"
"14141","processed_pseudogene","Gm18300","ENSMUSG00000103411"
"14142","unprocessed_pseudogene","Vmn1r-ps99","ENSMUSG00000083348"
"14143","miRNA","Gm25535","ENSMUSG00000093105"
"14144","processed_pseudogene","Gm28659","ENSMUSG00000100648"
"14145","protein_coding","Olfr944","ENSMUSG00000096555"
"14146","protein_coding","Car15","ENSMUSG00000090236"
"14147","protein_coding","Rab1b","ENSMUSG00000024870"
"14148","processed_pseudogene","RP24-324D14.6","ENSMUSG00000104640"
"14149","misc_RNA","Gm23069","ENSMUSG00000088865"
"14150","TR_J_gene","Traj33","ENSMUSG00000076896"
"14151","protein_coding","Psmg2","ENSMUSG00000024537"
"14152","transcribed_processed_pseudogene","Gm9531","ENSMUSG00000079225"
"14153","processed_pseudogene","Rps10-ps3","ENSMUSG00000082991"
"14154","miRNA","Mir7242","ENSMUSG00000098446"
"14155","processed_pseudogene","Gm28838","ENSMUSG00000099369"
"14156","protein_coding","Col4a1","ENSMUSG00000031502"
"14157","snoRNA","Gm24355","ENSMUSG00000064792"
"14158","lincRNA","1700096K18Rik","ENSMUSG00000101856"
"14159","protein_coding","Pitpnm3","ENSMUSG00000040543"
"14160","processed_pseudogene","RP23-59B8.1","ENSMUSG00000104798"
"14161","TEC","RP23-327M1.2","ENSMUSG00000105639"
"14162","lincRNA","Gm28178","ENSMUSG00000099878"
"14163","protein_coding","Vmn1r191","ENSMUSG00000095916"
"14164","snoRNA","Gm22267","ENSMUSG00000077196"
"14165","protein_coding","Olfr149","ENSMUSG00000062121"
"14166","protein_coding","Bpi","ENSMUSG00000052922"
"14167","TEC","Gm37484","ENSMUSG00000104120"
"14168","lincRNA","Gm28839","ENSMUSG00000101893"
"14169","protein_coding","Mael","ENSMUSG00000040629"
"14170","snRNA","Gm25045","ENSMUSG00000084619"
"14171","snRNA","Gm26105","ENSMUSG00000087878"
"14172","processed_pseudogene","RP23-405O11.3","ENSMUSG00000105744"
"14173","protein_coding","Ckb","ENSMUSG00000001270"
"14174","protein_coding","Gm7951","ENSMUSG00000095490"
"14175","miRNA","Gm25086","ENSMUSG00000096815"
"14176","misc_RNA","Gm27905","ENSMUSG00000098846"
"14177","processed_pseudogene","Gm19901","ENSMUSG00000102667"
"14178","lincRNA","Gm553","ENSMUSG00000100120"
"14179","lincRNA","2810429I04Rik","ENSMUSG00000097709"
"14180","lincRNA","RP24-121I11.1","ENSMUSG00000106144"
"14181","miRNA","Gm22184","ENSMUSG00000093162"
"14182","protein_coding","Gpx3","ENSMUSG00000018339"
"14183","unprocessed_pseudogene","Gm20781","ENSMUSG00000102170"
"14184","protein_coding","Mtr","ENSMUSG00000021311"
"14185","antisense","Gm16214","ENSMUSG00000086360"
"14186","miRNA","Mir29b-1","ENSMUSG00000065604"
"14187","protein_coding","Pvrl1","ENSMUSG00000032012"
"14188","miRNA","mmu-mir-6375","ENSMUSG00000105002"
"14189","protein_coding","Sun5","ENSMUSG00000027480"
"14190","unprocessed_pseudogene","Gm20866","ENSMUSG00000100442"
"14191","TR_J_gene","Traj32","ENSMUSG00000076897"
"14192","lincRNA","Gm10062","ENSMUSG00000059244"
"14193","snRNA","Gm24391","ENSMUSG00000088763"
"14194","protein_coding","Tbc1d8","ENSMUSG00000003134"
"14195","snoRNA","Gm24455","ENSMUSG00000065282"
"14196","protein_coding","Srpx2","ENSMUSG00000031253"
"14197","protein_coding","Idi2","ENSMUSG00000033520"
"14198","protein_coding","Pnn","ENSMUSG00000020994"
"14199","processed_pseudogene","Gm32460","ENSMUSG00000102915"
"14200","protein_coding","Prmt6","ENSMUSG00000049300"
"14201","snoRNA","Gm25833","ENSMUSG00000077325"
"14202","unprocessed_pseudogene","Gm29403","ENSMUSG00000100223"
"14203","protein_coding","Rrs1","ENSMUSG00000061024"
"14204","protein_coding","Usp6nl","ENSMUSG00000039046"
"14205","scaRNA","Gm23751","ENSMUSG00000088208"
"14206","protein_coding","A230046K03Rik","ENSMUSG00000034560"
"14207","protein_coding","Capn1","ENSMUSG00000024942"
"14208","protein_coding","Lrrc66","ENSMUSG00000067206"
"14209","unitary_pseudogene","4930519F16Rik","ENSMUSG00000031325"
"14210","protein_coding","Defb2","ENSMUSG00000006570"
"14211","unprocessed_pseudogene","Gm20868","ENSMUSG00000101518"
"14212","protein_coding","Iqgap1","ENSMUSG00000030536"
"14213","snRNA","Gm26501","ENSMUSG00000093999"
"14214","protein_coding","Cep192","ENSMUSG00000024542"
"14215","protein_coding","Foxr1","ENSMUSG00000074397"
"14216","TEC","Gm38319","ENSMUSG00000102982"
"14217","protein_coding","Vmn1r192","ENSMUSG00000099787"
"14218","antisense","Arhgap27os2","ENSMUSG00000085360"
"14219","unprocessed_pseudogene","Gm37237","ENSMUSG00000103372"
"14220","lincRNA","A430110L20Rik","ENSMUSG00000054135"
"14221","TR_J_gene","Traj31","ENSMUSG00000076898"
"14222","antisense","RP23-327M1.1","ENSMUSG00000105509"
"14223","snoRNA","Gm25528","ENSMUSG00000093937"
"14224","protein_coding","Ccdc43","ENSMUSG00000020925"
"14225","protein_coding","Gm8926","ENSMUSG00000094205"
"14226","protein_coding","Olfr1487","ENSMUSG00000094846"
"14227","antisense","Gm15419","ENSMUSG00000084783"
"14228","protein_coding","Mcur1","ENSMUSG00000021371"
"14229","snRNA","Gm24526","ENSMUSG00000064855"
"14230","processed_pseudogene","Rpl35a-ps2","ENSMUSG00000081214"
"14231","protein_coding","Carkd","ENSMUSG00000031505"
"14232","protein_coding","Adgrd1","ENSMUSG00000044017"
"14233","TEC","RP24-455A5.3","ENSMUSG00000105209"
"14234","protein_coding","Fbln5","ENSMUSG00000021186"
"14235","unprocessed_pseudogene","RP23-227D7.1","ENSMUSG00000106185"
"14236","unprocessed_pseudogene","Gm11358","ENSMUSG00000082306"
"14237","protein_coding","Inhbe","ENSMUSG00000047492"
"14238","unprocessed_pseudogene","Gm17064","ENSMUSG00000091757"
"14239","protein_coding","Adam7","ENSMUSG00000022056"
"14240","protein_coding","Olfr1445","ENSMUSG00000045126"
"14241","TEC","RP24-121I11.4","ENSMUSG00000106241"
"14242","antisense","Gm15418","ENSMUSG00000085573"
"14243","protein_coding","Spo11","ENSMUSG00000005883"
"14244","lincRNA","Gm29265","ENSMUSG00000099940"
"14245","protein_coding","Cngb3","ENSMUSG00000056494"
"14246","antisense","Arhgap27os1","ENSMUSG00000085733"
"14247","processed_pseudogene","RP23-59B8.2","ENSMUSG00000104802"
"14248","unprocessed_pseudogene","Gm14957","ENSMUSG00000083294"
"14249","protein_coding","Hspb2","ENSMUSG00000038086"
"14250","lincRNA","RP24-364E17.1","ENSMUSG00000105602"
"14251","protein_coding","Vmn1r193","ENSMUSG00000046932"
"14252","processed_transcript","5730412P04Rik","ENSMUSG00000087553"
"14253","protein_coding","Ctss","ENSMUSG00000038642"
"14254","processed_pseudogene","RP23-408K8.3","ENSMUSG00000104578"
"14255","unprocessed_pseudogene","Gm38350","ENSMUSG00000102354"
"14256","sense_overlapping","Gm20644","ENSMUSG00000093673"
"14257","rRNA","n-R5s86","ENSMUSG00000095631"
"14258","protein_coding","Gm17027","ENSMUSG00000093926"
"14259","protein_coding","Pdzd8","ENSMUSG00000074746"
"14260","protein_coding","Lrrc74a","ENSMUSG00000059114"
"14261","processed_pseudogene","RP23-440G4.1","ENSMUSG00000104944"
"14262","lincRNA","RP23-307D8.13","ENSMUSG00000105479"
"14263","processed_pseudogene","Gm12732","ENSMUSG00000082646"
"14264","protein_coding","Trim36","ENSMUSG00000033949"
"14265","protein_coding","Olfr1499","ENSMUSG00000045395"
"14266","processed_pseudogene","Hmgb1-ps5","ENSMUSG00000083822"
"14267","protein_coding","Atm","ENSMUSG00000034218"
"14268","protein_coding","Agpat4","ENSMUSG00000023827"
"14269","protein_coding","Prl2c2","ENSMUSG00000079092"
"14270","processed_pseudogene","RP23-440G4.2","ENSMUSG00000105859"
"14271","protein_coding","Acot1","ENSMUSG00000072949"
"14272","protein_coding","Slc35f2","ENSMUSG00000042195"
"14273","protein_coding","Olfr1453","ENSMUSG00000094755"
"14274","protein_coding","Bex4","ENSMUSG00000047844"
"14275","TEC","RP23-363M4.2","ENSMUSG00000106458"
"14276","TR_C_gene","Tcrg-C2","ENSMUSG00000076752"
"14277","protein_coding","Cyb5r2","ENSMUSG00000048065"
"14278","processed_pseudogene","RP23-43A4.1","ENSMUSG00000105121"
"14279","protein_coding","Gm6465","ENSMUSG00000094036"
"14280","protein_coding","Olfr1500","ENSMUSG00000054526"
"14281","protein_coding","Neurod2","ENSMUSG00000038255"
"14282","protein_coding","Mettl21e","ENSMUSG00000046828"
"14283","protein_coding","Arhgap28","ENSMUSG00000024043"
"14284","protein_coding","Prr30","ENSMUSG00000042888"
"14285","protein_coding","Ccdc112","ENSMUSG00000071855"
"14286","protein_coding","Kdm4c","ENSMUSG00000028397"
"14287","processed_pseudogene","RP23-226J22.2","ENSMUSG00000104930"
"14288","protein_coding","Agap2","ENSMUSG00000025422"
"14289","protein_coding","Ubxn4","ENSMUSG00000026353"
"14290","protein_coding","Vmn1r194","ENSMUSG00000069297"
"14291","protein_coding","Terf1","ENSMUSG00000025925"
"14292","protein_coding","Gm21209","ENSMUSG00000095979"
"14293","processed_pseudogene","Tdgf1-ps2","ENSMUSG00000063911"
"14294","protein_coding","Sdr16c5","ENSMUSG00000028236"
"14295","protein_coding","Cyp19a1","ENSMUSG00000032274"
"14296","processed_pseudogene","RP23-226J22.3","ENSMUSG00000105346"
"14297","protein_coding","Lactb2","ENSMUSG00000025937"
"14298","processed_pseudogene","Gm12733","ENSMUSG00000081543"
"14299","protein_coding","Ptpn3","ENSMUSG00000038764"
"14300","processed_pseudogene","Gm15833","ENSMUSG00000089703"
"14301","miRNA","Mir1899","ENSMUSG00000084747"
"14302","protein_coding","Psmc1","ENSMUSG00000021178"
"14303","processed_pseudogene","Gm16204","ENSMUSG00000081517"
"14304","TEC","RP24-366N1.1","ENSMUSG00000106650"
"14305","protein_coding","Vmn1r195","ENSMUSG00000069296"
"14306","miRNA","Gm28010","ENSMUSG00000095555"
"14307","unprocessed_pseudogene","Gm28350","ENSMUSG00000100772"
"14308","rRNA","Gm23702","ENSMUSG00000089465"
"14309","protein_coding","Vwa5a","ENSMUSG00000023186"
"14310","processed_pseudogene","Gm11877","ENSMUSG00000082320"
"14311","processed_pseudogene","Gm16205","ENSMUSG00000081316"
"14312","antisense","RP23-182M12.2","ENSMUSG00000105104"
"14313","miRNA","Mir711","ENSMUSG00000076142"
"14314","processed_pseudogene","Gm37089","ENSMUSG00000103180"
"14315","processed_pseudogene","Gm5527","ENSMUSG00000100007"
"14316","snRNA","Gm26249","ENSMUSG00000080358"
"14317","TEC","1700047N06Rik","ENSMUSG00000102356"
"14318","protein_coding","Rnf185","ENSMUSG00000020448"
"14319","protein_coding","Clgn","ENSMUSG00000002190"
"14320","protein_coding","Zfp239","ENSMUSG00000042097"
"14321","protein_coding","Lin52","ENSMUSG00000085793"
"14322","protein_coding","Smr2","ENSMUSG00000029281"
"14323","TR_J_gene","Trgj2","ENSMUSG00000105830"
"14324","protein_coding","Gm20908","ENSMUSG00000101766"
"14325","protein_coding","A730018C14Rik","ENSMUSG00000047828"
"14326","antisense","Frmpd1os","ENSMUSG00000086284"
"14327","protein_coding","Aamp","ENSMUSG00000006299"
"14328","protein_coding","Serpinb1a","ENSMUSG00000044734"
"14329","protein_coding","Tceal8","ENSMUSG00000051579"
"14330","lincRNA","Gm29509","ENSMUSG00000099810"
"14331","protein_coding","Ap3d1","ENSMUSG00000020198"
"14332","protein_coding","Sgcz","ENSMUSG00000039539"
"14333","protein_coding","Trdmt1","ENSMUSG00000026723"
"14334","protein_coding","Trib3","ENSMUSG00000032715"
"14335","lincRNA","Gm28964","ENSMUSG00000101782"
"14336","protein_coding","Slc28a2","ENSMUSG00000027219"
"14337","processed_pseudogene","Gm11362","ENSMUSG00000082861"
"14338","protein_coding","Atg16l1","ENSMUSG00000026289"
"14339","protein_coding","4933408J17Rik","ENSMUSG00000097407"
"14340","protein_coding","Amica1","ENSMUSG00000048534"
"14341","protein_coding","Tns2","ENSMUSG00000037003"
"14342","processed_pseudogene","Gm20612","ENSMUSG00000093722"
"14343","protein_coding","Ddx24","ENSMUSG00000041645"
"14344","protein_coding","Akirin2","ENSMUSG00000028291"
"14345","unprocessed_pseudogene","Gm16431","ENSMUSG00000083069"
"14346","protein_coding","Plekhj1","ENSMUSG00000035278"
"14347","protein_coding","Xbp1","ENSMUSG00000020484"
"14348","lincRNA","Gm28764","ENSMUSG00000101745"
"14349","protein_coding","Nova1","ENSMUSG00000021047"
"14350","protein_coding","Amh","ENSMUSG00000035262"
"14351","protein_coding","Cbr2","ENSMUSG00000025150"
"14352","protein_coding","Tsc22d3","ENSMUSG00000031431"
"14353","protein_coding","Gtsf1l","ENSMUSG00000070708"
"14354","unprocessed_pseudogene","Gm29259","ENSMUSG00000101530"
"14355","protein_coding","Otog","ENSMUSG00000009487"
"14356","protein_coding","Ubtfl1","ENSMUSG00000074502"
"14357","protein_coding","Pim3","ENSMUSG00000035828"
"14358","protein_coding","Ipp","ENSMUSG00000028696"
"14359","protein_coding","Psd","ENSMUSG00000037126"
"14360","protein_coding","Chrna4","ENSMUSG00000027577"
"14361","protein_coding","Cd74","ENSMUSG00000024610"
"14362","antisense","Gm12257","ENSMUSG00000086063"
"14363","lincRNA","Gm11454","ENSMUSG00000086152"
"14364","protein_coding","Kiss1r","ENSMUSG00000035773"
"14365","protein_coding","Rbm31y","ENSMUSG00000095365"
"14366","processed_pseudogene","Gm27218","ENSMUSG00000099274"
"14367","processed_transcript","2610307P16Rik","ENSMUSG00000085936"
"14368","protein_coding","Fam172a","ENSMUSG00000064138"
"14369","protein_coding","Ftmt","ENSMUSG00000024510"
"14370","processed_pseudogene","Gm11637","ENSMUSG00000084375"
"14371","lincRNA","1700084F23Rik","ENSMUSG00000099639"
"14372","protein_coding","Olfr1467","ENSMUSG00000049015"
"14373","lincRNA","Gm15232","ENSMUSG00000084806"
"14374","unitary_pseudogene","Gm16342","ENSMUSG00000086162"
"14375","protein_coding","Klk1b21","ENSMUSG00000066516"
"14376","protein_coding","Gm5615","ENSMUSG00000074448"
"14377","pseudogene","Hsp25-ps1","ENSMUSG00000078915"
"14378","processed_pseudogene","Gm14971","ENSMUSG00000081736"
"14379","protein_coding","Tbata","ENSMUSG00000020096"
"14380","lincRNA","2810049E08Rik","ENSMUSG00000100891"
"14381","processed_pseudogene","Gm6081","ENSMUSG00000086785"
"14382","processed_pseudogene","Gm7746","ENSMUSG00000082611"
"14383","protein_coding","Nhlrc1","ENSMUSG00000044231"
"14384","protein_coding","Rpl3l","ENSMUSG00000002500"
"14385","lincRNA","Gm28762","ENSMUSG00000100957"
"14386","protein_coding","Pgm1","ENSMUSG00000029171"
"14387","protein_coding","B430306N03Rik","ENSMUSG00000043740"
"14388","protein_coding","Rps6ka5","ENSMUSG00000021180"
"14389","protein_coding","Csf2rb","ENSMUSG00000071713"
"14390","protein_coding","Cdipt","ENSMUSG00000030682"
"14391","protein_coding","Gm17689","ENSMUSG00000091248"
"14392","protein_coding","Tceal5","ENSMUSG00000054034"
"14393","protein_coding","Me2","ENSMUSG00000024556"
"14394","transcribed_unprocessed_pseudogene","Gm28860","ENSMUSG00000100676"
"14395","protein_coding","1700084M14Rik","ENSMUSG00000057805"
"14396","protein_coding","Olfr480","ENSMUSG00000063120"
"14397","unprocessed_pseudogene","Gm37325","ENSMUSG00000102421"
"14398","processed_pseudogene","Gm11295","ENSMUSG00000084038"
"14399","protein_coding","Pex11b","ENSMUSG00000028102"
"14400","protein_coding","Pdgfra","ENSMUSG00000029231"
"14401","protein_coding","Rbp4","ENSMUSG00000024990"
"14402","protein_coding","Rac2","ENSMUSG00000033220"
"14403","protein_coding","Tcl1b5","ENSMUSG00000000701"
"14404","protein_coding","Ippk","ENSMUSG00000021385"
"14405","unprocessed_pseudogene","Gm20833","ENSMUSG00000104032"
"14406","protein_coding","Lbp","ENSMUSG00000016024"
"14407","protein_coding","Cep83","ENSMUSG00000020024"
"14408","protein_coding","Psme1","ENSMUSG00000022216"
"14409","lincRNA","Gm28421","ENSMUSG00000100784"
"14410","protein_coding","Slamf6","ENSMUSG00000015314"
"14411","protein_coding","Exosc10","ENSMUSG00000017264"
"14412","protein_coding","5430402E10Rik","ENSMUSG00000044121"
"14413","protein_coding","Snf8","ENSMUSG00000006058"
"14414","transcribed_processed_pseudogene","Gm17916","ENSMUSG00000100515"
"14415","lincRNA","Gm37865","ENSMUSG00000102400"
"14416","protein_coding","Ugt2b35","ENSMUSG00000035811"
"14417","protein_coding","Nmrk2","ENSMUSG00000004939"
"14418","protein_coding","4932411N23Rik","ENSMUSG00000058670"
"14419","unprocessed_pseudogene","Gm28420","ENSMUSG00000101044"
"14420","protein_coding","Il10ra","ENSMUSG00000032089"
"14421","TEC","Gm37053","ENSMUSG00000103348"
"14422","processed_pseudogene","Gm15066","ENSMUSG00000083200"
"14423","protein_coding","Slc9c1","ENSMUSG00000033210"
"14424","protein_coding","Noc3l","ENSMUSG00000024999"
"14425","protein_coding","Asb13","ENSMUSG00000033781"
"14426","processed_pseudogene","Gm381","ENSMUSG00000082772"
"14427","protein_coding","Fbxl6","ENSMUSG00000022559"
"14428","lincRNA","Gm28252","ENSMUSG00000101539"
"14429","protein_coding","Col4a2","ENSMUSG00000031503"
"14430","protein_coding","Myo9b","ENSMUSG00000004677"
"14431","processed_pseudogene","Gm5389","ENSMUSG00000081896"
"14432","processed_pseudogene","Gm8146","ENSMUSG00000103260"
"14433","processed_pseudogene","Gm14973","ENSMUSG00000081639"
"14434","protein_coding","Top2b","ENSMUSG00000017485"
"14435","processed_pseudogene","Gm11489","ENSMUSG00000083894"
"14436","protein_coding","Skil","ENSMUSG00000027660"
"14437","protein_coding","Gdpd5","ENSMUSG00000035314"
"14438","protein_coding","Gcdh","ENSMUSG00000003809"
"14439","processed_pseudogene","Gm14972","ENSMUSG00000082690"
"14440","protein_coding","Tmem181a","ENSMUSG00000038141"
"14441","unprocessed_pseudogene","Gm7950","ENSMUSG00000094423"
"14442","protein_coding","Hpse2","ENSMUSG00000074852"
"14443","protein_coding","Gm20825","ENSMUSG00000095324"
"14444","protein_coding","Cdh23","ENSMUSG00000012819"
"14445","protein_coding","Fam208b","ENSMUSG00000033799"
"14446","protein_coding","Yme1l1","ENSMUSG00000026775"
"14447","unprocessed_pseudogene","Gm14629","ENSMUSG00000084103"
"14448","protein_coding","Chn2","ENSMUSG00000004633"
"14449","protein_coding","Olfr482","ENSMUSG00000059031"
"14450","protein_coding","Plekhg3","ENSMUSG00000052609"
"14451","protein_coding","Cript","ENSMUSG00000024146"
"14452","protein_coding","Bcl2","ENSMUSG00000057329"
"14453","protein_coding","Grin2c","ENSMUSG00000020734"
"14454","protein_coding","Nrxn3","ENSMUSG00000066392"
"14455","unprocessed_pseudogene","Gm29495","ENSMUSG00000101727"
